index,date,secPrecipBulk,year
1057,2020-01-01,0.0,2020.0
1058,2020-01-02,1.996,2020.0
1059,2020-01-03,16.966,2020.0
1060,2020-01-04,3.992,2020.0
1061,2020-01-05,0.499,2020.0
1062,2020-01-06,0.0,2020.0
1063,2020-01-07,0.0,2020.0
1064,2020-01-08,0.0,2020.0
1065,2020-01-09,0.0,2020.0
1066,2020-01-10,0.0,2020.0
1067,2020-01-11,0.0,2020.0
1068,2020-01-12,2.495,2020.0
1069,2020-01-13,0.0,2020.0
1070,2020-01-14,0.0,2020.0
1071,2020-01-15,0.0,2020.0
1072,2020-01-16,0.0,2020.0
1073,2020-01-17,0.499,2020.0
1074,2020-01-18,0.0,2020.0
1075,2020-01-19,0.499,2020.0
1076,2020-01-20,0.0,2020.0
1077,2020-01-21,0.0,2020.0
1078,2020-01-22,0.0,2020.0
1079,2020-01-23,0.0,2020.0
1080,2020-01-24,0.0,2020.0
1081,2020-01-25,3.493,2020.0
1082,2020-01-26,12.477,2020.0
1083,2020-01-27,0.0,2020.0
1084,2020-01-28,0.0,2020.0
1085,2020-01-29,0.0,2020.0
1086,2020-01-30,0.0,2020.0
1087,2020-01-31,0.0,2020.0
1088,2020-02-01,0.0,2020.0
1089,2020-02-02,0.0,2020.0
1090,2020-02-03,0.0,2020.0
1091,2020-02-04,0.0,2020.0
1092,2020-02-05,0.499,2020.0
1093,2020-02-06,0.0,2020.0
1094,2020-02-07,2.495,2020.0
1095,2020-02-08,0.0,2020.0
1096,2020-02-09,0.0,2020.0
1097,2020-02-10,17.468,2020.0
1098,2020-02-11,5.489,2020.0
1099,2020-02-12,0.499,2020.0
1100,2020-02-13,8.652,2020.0
1101,2020-02-14,0.0,2020.0
1102,2020-02-15,0.0,2020.0
1103,2020-02-16,0.509,2020.0
1104,2020-02-17,0.0,2020.0
1105,2020-02-18,0.0,2020.0
1106,2020-02-19,1.017,2020.0
1107,2020-02-20,0.0,2020.0
1108,2020-02-21,0.0,2020.0
1109,2020-02-22,0.0,2020.0
1110,2020-02-23,0.0,2020.0
1111,2020-02-24,0.0,2020.0
1112,2020-02-25,0.0,2020.0
1113,2020-02-26,3.562,2020.0
1114,2020-02-27,22.891,2020.0
1115,2020-02-28,0.0,2020.0
1116,2020-02-29,0.0,2020.0
1117,2020-03-01,0.0,2020.0
1118,2020-03-02,0.0,2020.0
1119,2020-03-03,2.543,2020.0
1120,2020-03-04,5.5969999999999995,2020.0
1121,2020-03-05,0.0,2020.0
1122,2020-03-06,0.0,2020.0
1123,2020-03-07,0.0,2020.0
1124,2020-03-08,0.0,2020.0
1125,2020-03-09,0.0,2020.0
1126,2020-03-10,0.0,2020.0
1127,2020-03-11,2.034,2020.0
1128,2020-03-12,0.0,2020.0
1129,2020-03-13,20.349,2020.0
1130,2020-03-14,0.509,2020.0
1131,2020-03-15,0.0,2020.0
1132,2020-03-16,0.0,2020.0
1133,2020-03-17,0.0,2020.0
1134,2020-03-18,0.0,2020.0
1135,2020-03-19,18.312,2020.0
1136,2020-03-20,3.0519999999999996,2020.0
1137,2020-03-21,0.0,2020.0
1138,2020-03-22,0.0,2020.0
1139,2020-03-23,0.0,2020.0
1140,2020-03-24,19.841,2020.0
1141,2020-03-25,3.562,2020.0
1142,2020-03-26,0.0,2020.0
1143,2020-03-27,0.0,2020.0
1144,2020-03-28,0.0,2020.0
1145,2020-03-29,15.772,2020.0
1146,2020-03-30,6.103999999999999,2020.0
1147,2020-03-31,0.0,2020.0
1148,2020-04-01,0.0,2020.0
1149,2020-04-02,3.0519999999999996,2020.0
1150,2020-04-03,19.843,2020.0
1151,2020-04-04,1.5270000000000001,2020.0
1152,2020-04-05,0.0,2020.0
1153,2020-04-06,0.0,2020.0
1154,2020-04-07,0.0,2020.0
1155,2020-04-08,0.0,2020.0
1156,2020-04-09,18.824,2020.0
1157,2020-04-10,2.036,2020.0
